epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,704.219,1.4471,0.74516,1.28893,0.9154,0.59091,0.71258,0.39292,1.62656,0.97948,1.34527,0.0002378,0.0002378,0.0002378
91,720.7,1.28155,0.69231,1.25061,0.76493,0.68182,0.71196,0.39423,1.62737,0.93985,1.35729,0.000218,0.000218,0.000218
92,729.985,1.3176,0.65264,1.24146,0.91848,0.59091,0.71009,0.38804,1.67256,0.88407,1.39045,0.0001982,0.0001982,0.0001982
93,737.031,1.27645,0.63301,1.18251,0.93225,0.62601,0.71092,0.38567,1.71463,0.88667,1.41193,0.0001784,0.0001784,0.0001784
94,743.394,1.21636,0.63678,1.15298,0.91908,0.59091,0.70703,0.3658,1.77934,0.91563,1.44274,0.0001586,0.0001586,0.0001586
95,749.872,1.22313,0.60503,1.19872,0.91305,0.59091,0.69822,0.36895,1.77606,0.91717,1.43789,0.0001388,0.0001388,0.0001388
96,756.575,1.20969,0.58593,1.16852,0.81919,0.63636,0.69723,0.36654,1.7396,0.91352,1.41134,0.000119,0.000119,0.000119
97,765.355,1.22606,0.60363,1.18045,0.81875,0.63636,0.70181,0.37465,1.71774,0.91627,1.40211,9.92e-05,9.92e-05,9.92e-05
98,771.772,1.13554,0.56426,1.15135,0.82,0.63636,0.70046,0.37363,1.71996,0.91965,1.39615,7.94e-05,7.94e-05,7.94e-05
99,778.467,1.25157,0.59355,1.23866,0.90675,0.59091,0.69615,0.3695,1.71554,0.90733,1.39368,5.96e-05,5.96e-05,5.96e-05
100,784.85,1.21851,0.57568,1.15217,0.90303,0.59091,0.69907,0.37882,1.71815,0.91538,1.40211,3.98e-05,3.98e-05,3.98e-05
